,0
/m/0814255,20
/m/0878835,122
/m/10,18
/m/1000013-12_angry_men,47
/m/1000079-20000_leagues_under_the_sea,20
/m/10000_bc,-58
/m/1000121-39_steps,46
/m/1000123-310_to_yuma,31
/m/10002008-charly,-1
/m/1000204-abraham_lincoln,12
/m/10002114-dark_water,10
/m/1000224-accused,21
/m/10002516-lost_city,18
/m/10002519-breaking_point,6
/m/1000253-adams_rib,33
/m/10002635-bridge_of_san_luis_rey,-5
/m/10002673-prowler,13
/m/10003276-criminal,82
/m/1000334-adventures_of_mark_twain,0
/m/10003437-deep_blue,41
/m/1000355-adventures_of_robin_hood,44
/m/10003876-man_hunt,10
/m/10003925-dead_end,1
/m/10004050-bandwagon,6
/m/10004069-whore,-4
/m/10004209-tristan_and_isolde,52
/m/10004226-wild_side,14
/m/10004232-10004232-tale_of_two_pizzas,-5
/m/10004288-running_scared,-31
/m/10004352-going_the_distance,-5
/m/10004504-ultraviolet,-61
/m/10004635-home_of_the_brave,18
/m/10004659-arthur,40
/m/10004684-malevolence,-6
/m/10004697-eternal,-15
/m/10004835-farewell_to_arms,7
/m/10004890-narrow_margin,6
/m/10004925-matador,121
/m/10005057-smile,-8
/m/10005104-intruder,34
/m/10005178-saint_ralph,59
/m/10005403-the_baxter,31
/m/10005499-oliver_twist,127
/m/1000560-alamo,4
/m/10005755-g,12
/m/1000580-alexander_the_great,3
/m/1000581-alfie,30
/m/10005819-10005819-neverwas,4
/m/10006007-the_second_chance,3
/m/10006057-moonlight,10
/m/1000617-aliens,36
/m/10006188-rise,-4
/m/1000626-all_about_eve,70
/m/10006270,12
/m/10006324,-8
/m/10006343-dirty,-3
/m/10006370-stay_alive,-39
/m/1000640-all_of_me,27
/m/1000643-all_quiet_on_the_western_front,5
/m/10006434-dreamland,14
/m/10006485-black_gold,27
/m/1000654-all_the_kings_men,33
/m/10006588-street_fight,28
/m/10006848-the_motel,32
/m/10006849-once_in_a_lifetime,66
/m/10006856-requiem,38
/m/10006940-silk,-5
/m/10007139-park,-2
/m/10007142-the_4th_dimension,-2
/m/10007333-bon_cop_bad_cop,7
/m/10007415-amazing_grace,119
/m/10007538-silence,4
/m/10007598-cocaine_cowboys,27
/m/10007614-gone,3
/m/10007714-situation,12
/m/10007821-snow_blind,2
/m/10007856-four_sheets_to_the_wind,9
/m/10007886-the_tigers_tail,7
/m/10007893-its_a_boy_girl_thing,-3
/m/10007898-slipstream,-10
/m/10007902-delirious,73
/m/10007916_interview,65
/m/1000792-american_anthem,-4
/m/10007947-ten,-13
/m/10007985-happening,-68
/m/10008005-moliere,82
/m/10008126-straightheads,-11
/m/10008140-borderland,3
/m/10008200-spiral,3
/m/10008234-alexandra,54
/m/10008390_blood_and_tears,1
/m/10008423-cool_school,31
/m/10008496-pathology,2
/m/10008502-christmas_carol,125
/m/10008507-deep_water,72
/m/10008562-road_to_victory,8
/m/10008587-beverly_hills_chihuahua,-31
/m/10008601-fireflies_in_the_garden,13
/m/10008606-eye,-39
/m/10008607-day_of_the_dead,-6
/m/10008611-my_best_friends_girl,0
/m/10008613-burrowers,2
/m/10008617-midnight_meat_train,7
/m/10008618-return,43
/m/10008621-run_fat_boy_run,12
/m/10008652-closing_escrow,1
/m/10008655-whiteout,-56
/m/10008661-randy_and_the_mob,11
/m/10008667-black_irish,11
/m/10008678-wild_child,-1
/m/10008687-powder_blue,0
/m/10008698-king_corn,32
/m/10008699-terrors_advocate,38
/m/10008700-darfur_now,55
/m/10008701-laaga_chunari_mein_daag,-4
/m/10008703-rails_and_ties,34
/m/10008705-mr_untouchable,17
/m/10008706-house,-11
/m/10008744-canvas,23
/m/10008747-skid_row,8
/m/10008748-saawariya,6
/m/10008752-aaja_nachle,3
/m/10008754-flawless,68
/m/10008760-what_happens_in_vegas,-64
/m/10008785-appaloosa,144
/m/10008786-good,4
/m/10008820-visitor,127
/m/10008830-bill,-2
/m/10008849-married_life,106
/m/10008856-badland,-1
/m/10008924-oxford_murders,-6
/m/10008954-untraceable,-76
/m/10008991-informers,-12
/m/10008992-meeting_resistance,21
/m/10009001-the_freshman,35
/m/10009005-a_bloody_aria,10
/m/10009055-rocker,47
/m/10009063-perfect_holiday,-8
/m/10009066-la_graine_et_le_mulet,50
/m/10009083-land_of_the_lost,-84
/m/10009132-rec,-4
/m/10009138-look,10
/m/1000915-and_god_created_woman,7
/m/10009151-box,-4
/m/10009169-man_in_the_chair,8
/m/10009172-undoing,9
/m/10009176-black_water,5
/m/10009192-21,7
/m/10009210-duchess_of_langeais,78
/m/10009212-ben_x,14
/m/10009225-body_of_lies,79
/m/10009239-passengers,5
/m/10009244-the_grand,9
/m/10009253-the_hammer,10
/m/10009254-shutter,-54
/m/10009274-priest,-42
/m/10009323-broken,6
/m/10009334-the_escapist,43
/m/10009355-sugar,149
/m/10009420-quid_pro_quo,31
/m/10009421-red,15
/m/10009426-guitar,10
/m/10009460-the_road,149
/m/10009462-g_force,-19
/m/10009469-the_other_man,6
/m/10009493-duchess,132
/m/10009516-women,-26
/m/10009526-public_enemies,173
/m/10009547-night_and_day,15
/m/10009552-julia,35
/m/1000957-angel_and_the_badman,7
/m/10009583-fade_to_black,2
/m/1000959-angel_heart,19
/m/10009596-old_dogs,-62
/m/10009598-surrogates,-7
/m/10009624-promotion,32
/m/10009632-notorious,85
/m/10009635-soul_men,28
/m/10009636-igor,10
/m/10009680-matador,20
/m/10009791-auteur,3
/m/10009799-caller,6
/m/10009823-sin_nombre,90
/m/10009828-house_of_sleeping_beauties,1
/m/10009890-stone_angel,27
/m/10009926-alvin_and_the_chipmunks_2,-23
/m/10009929-a_christmas_tale,86
/m/10009980-rebound,4
/m/10009992-ripple_effect,0
/m/1000_times_good_night,65
/m/10010011-harold,-6
/m/10010066-push,-34
/m/10010077-felon,32
/m/10010131-scar,-21
/m/10010150-unborn,-64
/m/10010153-bitch_slap,-11
/m/10010155-forever_strong,-1
/m/10010208-chocolate,-1
/m/10010214-fireproof,-14
/m/10010229-dostana,2
/m/10010249-the_garden,32
/m/10010329-splinter,-7
/m/10010334-leaves_of_grass,14
/m/10010335-rab_ne_bana_di_jodi,-4
/m/10010458-proposal,15
/m/10010552-gigantic,15
/m/10010568-fuel,8
/m/10010571-hush,4
/m/1001063-anna_karenina,12
/m/10010658-orphan,-21
/m/10010662-my_sisters_keeper,88
/m/10010667-hangover,4
/m/10010668-stepfather,-18
/m/10010675-departures,113
/m/10010680-boogie,7
/m/10010692-ballerina,34
/m/10010694-season_of_the_witch,-63
/m/10010703-shuttle,8
/m/10010760-miss_march,-40
/m/10010782-american_affair,-2
/m/10010785-grace,12
/m/10010787-endgame,9
/m/10010789-red_baron,10
/m/10010919-objective,-8
/m/10010940-happy_tears,18
/m/10010944-missing_person,15
/m/10010957-polanski_unauthorized,-3
/m/10010972-mammoth,32
/m/10011003-crude,59
/m/10011016-messenger,142
/m/10011050-lake_mungo,8
/m/10011079-country_teacher,34
/m/1001115-apartment,75
/m/10011154-golden_boys,10
/m/1001117-ape,1
/m/10011235-fame,46
/m/10011262-outrage,52
/m/10011284-skin,51
/m/10011303-helen,13
/m/10011304-thirst,78
/m/10011335-vengeance,15
/m/10011379-new_world_order,-3
/m/1001138-april_fools_day,3
/m/10011388-blood_the_last_vampire,-17
/m/10011435-shrink,41
/m/10011457-ong_bak_2_2009,-42
/m/10011489-bananas,1
/m/10011494-last_ride,28
/m/10011582-TRON_legacy,47
/m/10011647-canyon,-8
/m/10011699-leslie_my_name_is_evil,5
/m/10011721-broken_hill,6
/m/10011735-beautiful_life,-10
/m/10011736-suck,0
/m/10011774-chloe,10
/m/1001180-armed_and_dangerous,-5
/m/10011815-hole,17
/m/10011846-nobodys_perfect,13
/m/10011854-good_soldier,6
/m/10011857-high_life,3
/m/1001193-around_the_world_in_80_days,22
/m/10011944-good_heart,22
/m/10011946-wonderful_world,18
/m/10011949-collapse,51
/m/10011950-three_blind_mice,0
/m/10011984-last_song,74
/m/10012014-babies,69
/m/10012039-lottery_ticket,-13
/m/10012042-going_the_distance,55
/m/10012044-life_as_we_know_it,-11
/m/10012050-final,-5
/m/10012051-frozen,4
/m/10012058-prodigal_sons,29
/m/10012063-ghost_writer,195
/m/10012068-repo_men,-55
/m/10012104-7_days,2
/m/10012114-daddy_longlegs,45
/m/10012136-winters_bone,185
/m/10012141-kids_are_all_right,185
/m/10012147-lucky,7
/m/10012150-high_school,-18
/m/10012207-stolen,-8
/m/10012232-killing_jar,-14
/m/10012254-la_mission,21
/m/10012256-predators,-58
/m/10012264-stonewall,40
/m/10012282-oath,21
/m/10012288-wild_hunt,7
/m/10012426-lottery,14
/m/1001280-assault_on_precinct_13,25
/m/1001294-asylum,5
/m/1001323-attack_of_the_50_foot_woman,-4
/m/1001406-avenging_angel,-3
/m/1001428-awakening,1
/m/1001488-babes_in_toyland,6
/m/1001553-bad_company,13
/m/1001567-bad_news_bears,20
/m/1001572-bad_seed,2
/m/1001634-bang_the_drum_slowly,39
/m/1001816-battleground,7
/m/1001902-beauty_and_the_beast,70
/m/1001_grams,15
/m/1002178-best_of_times,7
/m/1002205-betrayed,13
/m/1002306-big_brawl,4
/m/1002310-big_business,12
/m/1002332-big_heat,34
/m/1002352-big_sleep,46
/m/1002353-big_sleep,1
/m/1002407-billy_budd,8
/m/1002448-birds,36
/m/1002484-black_christmas,7
/m/1002497-black_hole,-4
/m/1002511-black_pirate,12
/m/1002512-black_rain,8
/m/1002526-black_sunday,14
/m/1002531-black_widow,17
/m/1002540-blackmail,15
/m/1002571-blind_date,-5
/m/1002598-blood_and_sand,7
/m/1002611-blood_feast,-1
/m/1002681-blue_angel,46
/m/1002732-bluebeard,9
/m/1002907-border,11
/m/1002930-born_yesterday,14
/m/1002939-boston_strangler,10
/m/1002947-bounty,14
/m/1002993-boys_from_brazil,15
/m/1003017-brainstorm,10
/m/1003060-breakout,4
/m/1003075-brewsters_millions,10
/m/1003076-brians_song,13
/m/1003094-brief_encounter,35
/m/1003119-broken_arrow,12
/m/1003120-broken_blossoms,19
/m/1003136-brotherhood,8
/m/1003217-bug,-3
/m/1003276-burglar,8
/m/1003296-bus_stop,6
/m/1003318-butch_cassidy_and_the_sundance_kid,43
/m/1003339-bye_bye_birdie,24
/m/1003399-calamity_jane,14
/m/1003436-camelot,7
